Account_Number,Credit_Score,Eligibility
10352289293,260,True
10931763676,280,True
10183092979,270,True
10610024806,270,True
10211788606,270,True
10189279280,220,False
10388737316,300,True
10442902138,170,False
10676694687,230,False
10719605538,270,True
10603296481,300,True
10053907748,260,True
10672856307,270,True
10750175655,240,False
10722694289,270,True
10264208588,230,False
10676991160,300,True
10271362797,260,True
10090744439,270,True
10941000347,280,True
10440864430,290,True
10579128377,240,False
10558664691,270,True
10439077312,230,False
10432070716,280,True
10447819344,270,True
10157593016,230,False
10518209991,250,True
10797842982,300,True
10254910878,250,True
10310176042,260,True
10144255298,270,True
10800184090,290,True
10160983771,270,True
10273567053,300,True
10341750219,220,False
10138112470,310,True
10231448493,250,True
10546159967,230,False
10751752960,290,True
10315752090,220,False
10867938262,260,True
10744933417,310,True
10386224790,250,True
10103927358,210,False
10601959891,260,True
10415076172,260,True
10356214463,280,True
10506134968,290,True
10704754168,290,True
10139189946,310,True
10576716236,240,False
10575392833,300,True
10364656861,270,True
10000769019,230,False
10405148003,310,True
10806054885,260,True
10337722798,220,False
10395268483,280,True
10434257302,220,False
10874363852,300,True
10119741132,300,True
10656117024,280,True
10433109342,310,True
10922523039,300,True
10049268931,280,True
10664486874,300,True
10404910951,250,True
10342277853,270,True
10999269980,310,True
10477229458,310,True
10969360203,310,True
10579204861,230,False
10472942484,280,True
10334996738,250,True
10658270506,250,True
10028132775,220,False
10208618599,220,False
10501777521,280,True
10385006332,310,True
10542965419,270,True
10856980398,240,False
10563932881,240,False
10643640910,210,False
10839202977,220,False
10174755306,300,True
10920053143,300,True
10990132153,300,True
10787627812,260,True
10086280196,330,True
10723840257,270,True
10979104977,240,False
10395864217,290,True
10109638664,260,True
10178772949,290,True
10659118397,240,False
10536512663,260,True
10670462668,270,True
10906227311,300,True
10992851648,310,True
10875396325,240,False
10225792913,250,True
10013026947,270,True
10486336665,290,True
10098150472,220,False
10171500868,270,True
10058123904,270,True
10884551946,290,True
10871595439,300,True
10694725648,310,True
10654988839,190,False
10229855571,300,True
10023899402,220,False
10874176245,330,True
10401314962,250,True
10193177336,290,True
10174344979,270,True
10479459931,270,True
10773225456,280,True
10788732570,320,True
10674268754,240,False
10953104893,260,True
10459086004,220,False
10457052868,260,True
10528956064,240,False
10807157329,240,False
10129852739,260,True
10422985249,200,False
10003013845,210,False
10234801249,260,True
10088346448,300,True
10022072410,270,True
10316556902,200,False
10427388733,270,True
10835195249,220,False
10107237595,220,False
10291533477,270,True
10093217299,270,True
10486115401,300,True
10475637660,250,True
10200074691,220,False
10761606105,260,True
10971445534,270,True
10846229985,250,True
10457928166,270,True
10430274606,220,False
10517949803,310,True
10113488338,220,False
10501317222,240,False
10988723286,280,True
10482370532,280,True
10633543738,270,True
10215959828,310,True
10118528727,270,True
10596511087,300,True
10822564196,300,True
10749137567,290,True
10398953946,280,True
10074416469,190,False
10447646775,190,False
10407836796,220,False
10779927011,260,True
10717979931,290,True
10846845158,270,True
10908497953,230,False
10820131801,280,True
10721358253,210,False
10232512098,200,False
10095498206,290,True
10746999149,260,True
10254856355,230,False
10286644827,240,False
10883766355,210,False
10137074643,270,True
10377322032,280,True
10403114206,280,True
10398098820,310,True
10789800505,300,True
10519363521,220,False
10924967018,260,True
10361221661,300,True
10838255332,210,False
10943226692,310,True
10989506499,270,True
10125983316,310,True
10727935172,320,True
10614029987,310,True
10596778442,240,False
10414289142,210,False
10028552436,290,True
